"REF_DATE","Products and product groups","VALUE"
"1938-11","All-items",7.6
"1938-12","All-items",7.6
"1939-01","All-items",7.6
"1939-02","All-items",7.6
"1939-03","All-items",7.6
"1939-04","All-items",7.6
"1939-05","All-items",7.6
"1939-06","All-items",7.6
"1939-07","All-items",7.6
"1939-08","All-items",7.6
"1939-09","All-items",7.6
"1939-10","All-items",7.8
"1939-11","All-items",7.8
"1939-12","All-items",7.8
"1940-01","All-items",7.8
"1940-02","All-items",7.8
"1940-03","All-items",7.9
"1940-04","All-items",7.9
"1940-05","All-items",7.9
"1940-06","All-items",7.9
"1940-07","All-items",8
"1940-08","All-items",8
"1940-09","All-items",8.1
"1940-10","All-items",8.1
"1940-11","All-items",8.1
"1940-12","All-items",8.2
"1941-01","All-items",8.2
"1941-02","All-items",8.2
"1941-03","All-items",8.2
"1941-04","All-items",8.2
"1941-05","All-items",8.2
"1941-06","All-items",8.4
"1941-07","All-items",8.5
"1941-08","All-items",8.6
"1941-09","All-items",8.7
"1941-10","All-items",8.7
"1941-11","All-items",8.8
"1941-12","All-items",8.7
"1942-01","All-items",8.7
"1942-02","All-items",8.7
"1942-03","All-items",8.8
"1942-04","All-items",8.8
"1942-05","All-items",8.8
"1942-06","All-items",8.8
"1942-07","All-items",8.9
"1942-08","All-items",8.9
"1942-09","All-items",8.8
"1942-10","All-items",8.9
"1942-11","All-items",9
"1942-12","All-items",9
"1943-01","All-items",8.8
"1943-02","All-items",8.8
"1943-03","All-items",8.8
"1943-04","All-items",9
"1943-05","All-items",9
"1943-06","All-items",9
"1943-07","All-items",9.1
"1943-08","All-items",9.1
"1943-09","All-items",9.2
"1943-10","All-items",9.2
"1943-11","All-items",9.2
"1943-12","All-items",9.2
"1944-01","All-items",9.1
"1944-02","All-items",9.1
"1944-03","All-items",9.1
"1944-04","All-items",9.1
"1944-05","All-items",9.1
"1944-06","All-items",9.1
"1944-07","All-items",9.1
"1944-08","All-items",9.1
"1944-09","All-items",9.1
"1944-10","All-items",9.1
"1944-11","All-items",9.1
"1944-12","All-items",9
"1945-01","All-items",9
"1945-02","All-items",9.1
"1945-03","All-items",9.1
"1945-04","All-items",9.1
"1945-05","All-items",9.1
"1945-06","All-items",9.2
"1945-07","All-items",9.2
"1945-08","All-items",9.2
"1945-09","All-items",9.2
"1945-10","All-items",9.2
"1945-11","All-items",9.2
"1945-12","All-items",9.2
"1946-01","All-items",9.2
"1946-02","All-items",9.2
"1946-03","All-items",9.2
"1946-04","All-items",9.2
"1946-05","All-items",9.2
"1946-06","All-items",9.4
"1946-07","All-items",9.5
"1946-08","All-items",9.6
"1946-09","All-items",9.6
"1946-10","All-items",9.7
"1946-11","All-items",9.7
"1946-12","All-items",9.7
"1947-01","All-items",9.7
"1947-02","All-items",9.7
"1947-03","All-items",9.8
"1947-04","All-items",9.9
"1947-05","All-items",10.1
"1947-06","All-items",10.2
"1947-07","All-items",10.3
"1947-08","All-items",10.3
"1947-09","All-items",10.6
"1947-10","All-items",10.8
"1947-11","All-items",10.9
"1947-12","All-items",11.1
"1948-01","All-items",11.2
"1948-02","All-items",11.4
"1948-03","All-items",11.4
"1948-04","All-items",11.5
"1948-05","All-items",11.6
"1948-06","All-items",11.8
"1948-07","All-items",11.8
"1948-08","All-items",11.9
"1948-09","All-items",12.1
"1948-10","All-items",12.1
"1948-11","All-items",12.1
"1948-12","All-items",12.1
"1949-01","All-items",12.1
"1949-01","Bakery and cereal products (excluding baby food)",9.6
"1949-01","Rented accommodation",18.5
"1949-01","Mortgage interest cost",9.9
"1949-01","Homeowners' replacement cost",8.7
"1949-01","Property taxes and other special charges",9.5
"1949-01","Homeowners' home and mortgage insurance",3.6
"1949-01","Homeowners' maintenance and repairs",8.2
"1949-01","Electricity",11.4
"1949-01","Natural gas",10.7
"1949-01","Fuel oil and other fuels",8.6
"1949-01","Furniture",19.5
"1949-01","Purchase of passenger vehicles",21.1
"1949-01","Gasoline",11.7
"1949-01","Local and commuter transportation",4.5
"1949-01","Inter-city transportation",4.5
"1949-01","Personal care services",6
"1949-01","Reading material (excluding textbooks)",6.4
"1949-01","Tobacco products and smokers' supplies",5.8
"1949-02","All-items",12.1
"1949-02","Bakery and cereal products (excluding baby food)",9.6
"1949-02","Rented accommodation",18.5
"1949-02","Mortgage interest cost",9.9
"1949-02","Homeowners' replacement cost",8.7
"1949-02","Property taxes and other special charges",9.5
"1949-02","Homeowners' home and mortgage insurance",3.6
"1949-02","Homeowners' maintenance and repairs",8.2
"1949-02","Electricity",11.4
"1949-02","Natural gas",10.7
"1949-02","Fuel oil and other fuels",8.6
"1949-02","Furniture",19.6
"1949-02","Purchase of passenger vehicles",21.1
"1949-02","Gasoline",11.7
"1949-02","Local and commuter transportation",4.5
"1949-02","Inter-city transportation",4.5
"1949-02","Personal care services",6
"1949-02","Reading material (excluding textbooks)",6.4
"1949-02","Tobacco products and smokers' supplies",5.9
"1949-03","All-items",12.1
"1949-03","Bakery and cereal products (excluding baby food)",9.5
"1949-03","Rented accommodation",18.5
"1949-03","Mortgage interest cost",9.9
"1949-03","Homeowners' replacement cost",8.7
"1949-03","Property taxes and other special charges",9.5
"1949-03","Homeowners' home and mortgage insurance",3.6
"1949-03","Homeowners' maintenance and repairs",8.2
"1949-03","Electricity",11.4
"1949-03","Natural gas",10.7
"1949-03","Fuel oil and other fuels",8.4
"1949-03","Furniture",19.7
"1949-03","Purchase of passenger vehicles",21.1
"1949-03","Gasoline",11.7
"1949-03","Local and commuter transportation",4.5
"1949-03","Inter-city transportation",4.5
"1949-03","Personal care services",6
"1949-03","Reading material (excluding textbooks)",6.4
"1949-03","Tobacco products and smokers' supplies",5.9
"1949-04","All-items",12.1
"1949-04","Bakery and cereal products (excluding baby food)",9.8
"1949-04","Rented accommodation",18.7
"1949-04","Mortgage interest cost",9.9
"1949-04","Homeowners' replacement cost",8.7
"1949-04","Property taxes and other special charges",9.5
"1949-04","Homeowners' home and mortgage insurance",3.6
"1949-04","Homeowners' maintenance and repairs",8.2
"1949-04","Electricity",11.4
"1949-04","Natural gas",10.7
"1949-04","Fuel oil and other fuels",8.1
"1949-04","Furniture",19.8
"1949-04","Purchase of passenger vehicles",21.1
"1949-04","Gasoline",11.8
"1949-04","Local and commuter transportation",4.5
"1949-04","Inter-city transportation",4.5
"1949-04","Personal care services",6
"1949-04","Reading material (excluding textbooks)",6.4
"1949-04","Tobacco products and smokers' supplies",5.9
"1949-05","All-items",12.1
"1949-05","Bakery and cereal products (excluding baby food)",10
"1949-05","Rented accommodation",18.7
"1949-05","Mortgage interest cost",9.9
"1949-05","Homeowners' replacement cost",8.7
"1949-05","Property taxes and other special charges",9.5
"1949-05","Homeowners' home and mortgage insurance",3.6
"1949-05","Homeowners' maintenance and repairs",8.2
"1949-05","Electricity",11.4
"1949-05","Natural gas",10.7
"1949-05","Fuel oil and other fuels",8
"1949-05","Furniture",19.8
"1949-05","Purchase of passenger vehicles",21.1
"1949-05","Gasoline",11.8
"1949-05","Local and commuter transportation",4.5
"1949-05","Inter-city transportation",4.9
"1949-05","Personal care services",6
"1949-05","Reading material (excluding textbooks)",6.4
"1949-05","Tobacco products and smokers' supplies",5.9
"1949-06","All-items",12.1
"1949-06","Bakery and cereal products (excluding baby food)",10
"1949-06","Rented accommodation",18.7
"1949-06","Mortgage interest cost",9.9
"1949-06","Homeowners' replacement cost",8.7
"1949-06","Property taxes and other special charges",9.5
"1949-06","Homeowners' home and mortgage insurance",3.6
"1949-06","Homeowners' maintenance and repairs",8.2
"1949-06","Electricity",11.4
"1949-06","Natural gas",10.7
"1949-06","Fuel oil and other fuels",8
"1949-06","Furniture",19.8
"1949-06","Purchase of passenger vehicles",21.1
"1949-06","Gasoline",11.8
"1949-06","Local and commuter transportation",4.5
"1949-06","Inter-city transportation",4.9
"1949-06","Personal care services",6
"1949-06","Reading material (excluding textbooks)",6.4
"1949-06","Tobacco products and smokers' supplies",5.9
"1949-07","All-items",12.1
"1949-07","Bakery and cereal products (excluding baby food)",10
"1949-07","Rented accommodation",18.8
"1949-07","Mortgage interest cost",9.9
"1949-07","Homeowners' replacement cost",8.7
"1949-07","Property taxes and other special charges",9.5
"1949-07","Homeowners' home and mortgage insurance",3.6
"1949-07","Homeowners' maintenance and repairs",8.3
"1949-07","Electricity",11.4
"1949-07","Natural gas",10.7
"1949-07","Fuel oil and other fuels",8
"1949-07","Furniture",19.8
"1949-07","Purchase of passenger vehicles",21.1
"1949-07","Gasoline",11.8
"1949-07","Local and commuter transportation",4.5
"1949-07","Inter-city transportation",4.9
"1949-07","Personal care services",6.1
"1949-07","Reading material (excluding textbooks)",6.4
"1949-07","Tobacco products and smokers' supplies",5.9
"1949-08","All-items",12.2
"1949-08","Bakery and cereal products (excluding baby food)",10
"1949-08","Rented accommodation",18.8
"1949-08","Mortgage interest cost",9.9
"1949-08","Homeowners' replacement cost",8.7
"1949-08","Property taxes and other special charges",9.5
"1949-08","Homeowners' home and mortgage insurance",3.6
"1949-08","Homeowners' maintenance and repairs",8.3
"1949-08","Electricity",11.4
"1949-08","Natural gas",10.7
"1949-08","Fuel oil and other fuels",8
"1949-08","Furniture",19.8
"1949-08","Purchase of passenger vehicles",21.1
"1949-08","Gasoline",11.9
"1949-08","Local and commuter transportation",4.7
"1949-08","Inter-city transportation",4.9
"1949-08","Personal care services",6.1
"1949-08","Reading material (excluding textbooks)",6.4
"1949-08","Tobacco products and smokers' supplies",5.9
"1949-09","All-items",12.2
"1949-09","Bakery and cereal products (excluding baby food)",10
"1949-09","Rented accommodation",19
"1949-09","Mortgage interest cost",9.9
"1949-09","Homeowners' replacement cost",8.7
"1949-09","Property taxes and other special charges",9.5
"1949-09","Homeowners' home and mortgage insurance",3.6
"1949-09","Homeowners' maintenance and repairs",8.4
"1949-09","Electricity",11.4
"1949-09","Natural gas",10.7
"1949-09","Fuel oil and other fuels",8
"1949-09","Furniture",19.9
"1949-09","Purchase of passenger vehicles",21.1
"1949-09","Gasoline",11.9
"1949-09","Local and commuter transportation",4.7
"1949-09","Inter-city transportation",4.9
"1949-09","Personal care services",6.1
"1949-09","Reading material (excluding textbooks)",6.4
"1949-09","Tobacco products and smokers' supplies",5.9
"1949-10","All-items",12.3
"1949-10","Bakery and cereal products (excluding baby food)",10
"1949-10","Rented accommodation",19
"1949-10","Mortgage interest cost",9.9
"1949-10","Homeowners' replacement cost",8.7
"1949-10","Property taxes and other special charges",9.5
"1949-10","Homeowners' home and mortgage insurance",3.6
"1949-10","Homeowners' maintenance and repairs",8.4
"1949-10","Electricity",11.4
"1949-10","Natural gas",10.7
"1949-10","Fuel oil and other fuels",8.5
"1949-10","Furniture",19.9
"1949-10","Purchase of passenger vehicles",21.1
"1949-10","Gasoline",12.3
"1949-10","Local and commuter transportation",5.1
"1949-10","Inter-city transportation",4.9
"1949-10","Personal care services",6.1
"1949-10","Reading material (excluding textbooks)",6.4
"1949-10","Tobacco products and smokers' supplies",5.9
"1949-11","All-items",12.3
"1949-11","Bakery and cereal products (excluding baby food)",10
"1949-11","Rented accommodation",19
"1949-11","Mortgage interest cost",9.9
"1949-11","Homeowners' replacement cost",8.7
"1949-11","Property taxes and other special charges",9.5
"1949-11","Homeowners' home and mortgage insurance",3.6
"1949-11","Homeowners' maintenance and repairs",8.3
"1949-11","Electricity",11.4
"1949-11","Natural gas",10.7
"1949-11","Fuel oil and other fuels",8
"1949-11","Furniture",19.9
"1949-11","Purchase of passenger vehicles",21.1
"1949-11","Gasoline",12.5
"1949-11","Local and commuter transportation",5.1
"1949-11","Inter-city transportation",4.9
"1949-11","Personal care services",6.1
"1949-11","Reading material (excluding textbooks)",6.4
"1949-11","Tobacco products and smokers' supplies",5.9
"1949-12","All-items",12.2
"1949-12","Bakery and cereal products (excluding baby food)",10
"1949-12","Rented accommodation",19.1
"1949-12","Mortgage interest cost",9.9
"1949-12","Homeowners' replacement cost",8.7
"1949-12","Property taxes and other special charges",9.5
"1949-12","Homeowners' home and mortgage insurance",3.6
"1949-12","Homeowners' maintenance and repairs",8.3
"1949-12","Electricity",11.4
"1949-12","Natural gas",10.7
"1949-12","Fuel oil and other fuels",8
"1949-12","Furniture",19.8
"1949-12","Purchase of passenger vehicles",21.1
"1949-12","Gasoline",12.5
"1949-12","Local and commuter transportation",5.1
"1949-12","Inter-city transportation",4.9
"1949-12","Personal care services",6.1
"1949-12","Reading material (excluding textbooks)",6.5
"1949-12","Tobacco products and smokers' supplies",5.9
"1950-01","All-items",12.1
"1950-01","Bakery and cereal products (excluding baby food)",10
"1950-01","Rented accommodation",19.1
"1950-01","Mortgage interest cost",9.9
"1950-01","Homeowners' replacement cost",8.7
"1950-01","Property taxes and other special charges",9.5
"1950-01","Homeowners' home and mortgage insurance",3.6
"1950-01","Homeowners' maintenance and repairs",8.4
"1950-01","Electricity",11.4
"1950-01","Natural gas",10.7
"1950-01","Fuel oil and other fuels",8
"1950-01","Furniture",19.8
"1950-01","Purchase of passenger vehicles",21.1
"1950-01","Gasoline",12.5
"1950-01","Local and commuter transportation",5.3
"1950-01","Inter-city transportation",4.9
"1950-01","Personal care services",6.3
"1950-01","Reading material (excluding textbooks)",6.5
"1950-01","Tobacco products and smokers' supplies",6
"1950-02","All-items",12.2
"1950-02","Bakery and cereal products (excluding baby food)",10
"1950-02","Rented accommodation",19.1
"1950-02","Mortgage interest cost",9.9
"1950-02","Homeowners' replacement cost",8.7
"1950-02","Property taxes and other special charges",9.5
"1950-02","Homeowners' home and mortgage insurance",3.6
"1950-02","Homeowners' maintenance and repairs",8.4
"1950-02","Electricity",11.5
"1950-02","Natural gas",10.8
"1950-02","Fuel oil and other fuels",8
"1950-02","Furniture",19.8
"1950-02","Purchase of passenger vehicles",21.1
"1950-02","Gasoline",12.6
"1950-02","Local and commuter transportation",5.3
"1950-02","Inter-city transportation",4.9
"1950-02","Personal care services",6.3
"1950-02","Reading material (excluding textbooks)",6.6
"1950-02","Tobacco products and smokers' supplies",6
"1950-03","All-items",12.3
"1950-03","Bakery and cereal products (excluding baby food)",10
"1950-03","Rented accommodation",20.3
"1950-03","Mortgage interest cost",9.9
"1950-03","Homeowners' replacement cost",8.7
"1950-03","Property taxes and other special charges",9.5
"1950-03","Homeowners' home and mortgage insurance",3.6
"1950-03","Homeowners' maintenance and repairs",8.4
"1950-03","Electricity",11.6
"1950-03","Natural gas",10.7
"1950-03","Fuel oil and other fuels",8
"1950-03","Furniture",19.8
"1950-03","Purchase of passenger vehicles",21.1
"1950-03","Gasoline",12.6
"1950-03","Local and commuter transportation",5.3
"1950-03","Inter-city transportation",4.9
"1950-03","Personal care services",6.3
"1950-03","Reading material (excluding textbooks)",6.6
"1950-03","Tobacco products and smokers' supplies",6
"1950-04","All-items",12.3
"1950-04","Bakery and cereal products (excluding baby food)",10
"1950-04","Rented accommodation",20.3
"1950-04","Mortgage interest cost",9.9
"1950-04","Homeowners' replacement cost",8.8
"1950-04","Property taxes and other special charges",9.5
"1950-04","Homeowners' home and mortgage insurance",3.6
"1950-04","Homeowners' maintenance and repairs",8.4
"1950-04","Electricity",11.7
"1950-04","Natural gas",10.7
"1950-04","Fuel oil and other fuels",8
"1950-04","Furniture",19.8
"1950-04","Purchase of passenger vehicles",21.1
"1950-04","Gasoline",12.6
"1950-04","Local and commuter transportation",5.3
"1950-04","Inter-city transportation",4.9
"1950-04","Personal care services",6.3
"1950-04","Reading material (excluding textbooks)",6.7
"1950-04","Tobacco products and smokers' supplies",6
"1950-05","All-items",12.3
"1950-05","Bakery and cereal products (excluding baby food)",10
"1950-05","Rented accommodation",20.3
"1950-05","Mortgage interest cost",9.9
"1950-05","Homeowners' replacement cost",8.9
"1950-05","Property taxes and other special charges",9.5
"1950-05","Homeowners' home and mortgage insurance",3.6
"1950-05","Homeowners' maintenance and repairs",8.5
"1950-05","Electricity",11.9
"1950-05","Natural gas",10.7
"1950-05","Fuel oil and other fuels",8
"1950-05","Furniture",19.8
"1950-05","Purchase of passenger vehicles",21.1
"1950-05","Gasoline",12.6
"1950-05","Local and commuter transportation",5.3
"1950-05","Inter-city transportation",4.9
"1950-05","Personal care services",6.3
"1950-05","Reading material (excluding textbooks)",6.7
"1950-05","Tobacco products and smokers' supplies",6
"1950-06","All-items",12.3
"1950-06","Bakery and cereal products (excluding baby food)",10
"1950-06","Rented accommodation",20.3
"1950-06","Mortgage interest cost",9.9
"1950-06","Homeowners' replacement cost",9.1
"1950-06","Property taxes and other special charges",9.8
"1950-06","Homeowners' home and mortgage insurance",3.6
"1950-06","Homeowners' maintenance and repairs",8.5
"1950-06","Electricity",11.9
"1950-06","Natural gas",10.7
"1950-06","Fuel oil and other fuels",8
"1950-06","Furniture",19.9
"1950-06","Purchase of passenger vehicles",21.1
"1950-06","Gasoline",12.6
"1950-06","Local and commuter transportation",5.3
"1950-06","Inter-city transportation",4.9
"1950-06","Personal care services",6.3
"1950-06","Reading material (excluding textbooks)",6.7
"1950-06","Tobacco products and smokers' supplies",6
"1950-07","All-items",12.4
"1950-07","Bakery and cereal products (excluding baby food)",10
"1950-07","Rented accommodation",20.6
"1950-07","Mortgage interest cost",9.9
"1950-07","Homeowners' replacement cost",9.3
"1950-07","Property taxes and other special charges",9.8
"1950-07","Homeowners' home and mortgage insurance",3.6
"1950-07","Homeowners' maintenance and repairs",8.5
"1950-07","Electricity",11.9
"1950-07","Natural gas",10.7
"1950-07","Fuel oil and other fuels",8
"1950-07","Furniture",19.9
"1950-07","Purchase of passenger vehicles",21.1
"1950-07","Gasoline",12.6
"1950-07","Local and commuter transportation",5.3
"1950-07","Inter-city transportation",4.9
"1950-07","Personal care services",6.3
"1950-07","Reading material (excluding textbooks)",6.7
"1950-07","Tobacco products and smokers' supplies",6
"1950-08","All-items",12.5
"1950-08","Bakery and cereal products (excluding baby food)",10.1
"1950-08","Rented accommodation",20.6
"1950-08","Mortgage interest cost",9.9
"1950-08","Homeowners' replacement cost",9.3
"1950-08","Property taxes and other special charges",9.8
"1950-08","Homeowners' home and mortgage insurance",3.6
"1950-08","Homeowners' maintenance and repairs",8.7
"1950-08","Electricity",11.9
"1950-08","Natural gas",10.7
"1950-08","Fuel oil and other fuels",8
"1950-08","Furniture",19.9
"1950-08","Purchase of passenger vehicles",21.1
"1950-08","Gasoline",12.6
"1950-08","Local and commuter transportation",5.3
"1950-08","Inter-city transportation",4.9
"1950-08","Personal care services",6.3
"1950-08","Reading material (excluding textbooks)",6.7
"1950-08","Tobacco products and smokers' supplies",6
"1950-09","All-items",12.7
"1950-09","Bakery and cereal products (excluding baby food)",10.5
"1950-09","Rented accommodation",20.8
"1950-09","Mortgage interest cost",9.9
"1950-09","Homeowners' replacement cost",9.5
"1950-09","Property taxes and other special charges",9.8
"1950-09","Homeowners' home and mortgage insurance",3.6
"1950-09","Homeowners' maintenance and repairs",8.9
"1950-09","Electricity",11.9
"1950-09","Natural gas",10.7
"1950-09","Fuel oil and other fuels",8.3
"1950-09","Furniture",20.3
"1950-09","Purchase of passenger vehicles",21.2
"1950-09","Gasoline",12.7
"1950-09","Local and commuter transportation",5.3
"1950-09","Inter-city transportation",4.9
"1950-09","Personal care services",6.3
"1950-09","Reading material (excluding textbooks)",6.7
"1950-09","Tobacco products and smokers' supplies",6
"1950-10","All-items",12.9
"1950-10","Bakery and cereal products (excluding baby food)",10.5
"1950-10","Rented accommodation",20.8
"1950-10","Mortgage interest cost",9.9
"1950-10","Homeowners' replacement cost",9.7
"1950-10","Property taxes and other special charges",9.8
"1950-10","Homeowners' home and mortgage insurance",3.6
