"REF_DATE","GEO","Labour force characteristics","VALUE"
"1976-01","Saskatchewan","Full-time employment",312.2
"1976-01","Saskatchewan","Part-time employment ",57.3
"1976-01","Saskatchewan","Unemployment",14.6
"1976-01","Saskatchewan","Unemployment rate",3.8
"1976-01","Saskatchewan","Participation rate",59.3
"1976-01","Saskatchewan","Employment rate",57
"1976-01","Alberta","Population",1276.7
"1976-01","Alberta","Labour force",856.5
"1976-01","Alberta","Employment",819.5
"1976-01","Alberta","Full-time employment",693.7
"1976-01","Alberta","Part-time employment ",125.8
"1976-01","Alberta","Unemployment",37
"1976-01","Alberta","Unemployment rate",4.3
"1976-01","Alberta","Participation rate",67.1
"1976-01","Alberta","Employment rate",64.2
"1976-01","British Columbia","Population",1852.4
"1976-01","British Columbia","Labour force",1125.4
"1976-01","British Columbia","Employment",1029.7
"1976-01","British Columbia","Full-time employment",877.1
"1976-01","British Columbia","Part-time employment ",152.6
"1976-01","British Columbia","Unemployment",95.8
"1976-01","British Columbia","Unemployment rate",8.5
"1976-01","British Columbia","Participation rate",60.8
"1976-01","British Columbia","Employment rate",55.6
"1976-02","Newfoundland and Labrador","Population",368.3
"1976-02","Newfoundland and Labrador","Labour force",184.6
"1976-02","Newfoundland and Labrador","Employment",161.1
"1976-02","Newfoundland and Labrador","Full-time employment",147.8
"1976-02","Newfoundland and Labrador","Part-time employment ",13.3
"1976-02","Newfoundland and Labrador","Unemployment",23.5
"1976-02","Newfoundland and Labrador","Unemployment rate",12.7
"1976-02","Newfoundland and Labrador","Participation rate",50.1
"1976-02","Newfoundland and Labrador","Employment rate",43.7
"1976-02","Prince Edward Island","Population",82.2
"1976-02","Prince Edward Island","Labour force",47.9
"1976-02","Prince Edward Island","Employment",42.7
"1976-02","Prince Edward Island","Full-time employment",37.7
"1976-02","Prince Edward Island","Part-time employment ",5
"1976-02","Prince Edward Island","Unemployment",5.2
"1976-02","Prince Edward Island","Unemployment rate",10.9
"1976-02","Prince Edward Island","Participation rate",58.3
"1976-02","Prince Edward Island","Employment rate",51.9
"1976-02","Nova Scotia","Population",584.4
"1976-02","Nova Scotia","Labour force",325.8
"1976-02","Nova Scotia","Employment",300.2
"1976-02","Nova Scotia","Full-time employment",262.6
"1976-02","Nova Scotia","Part-time employment ",37.6
"1976-02","Nova Scotia","Unemployment",25.6
"1976-02","Nova Scotia","Unemployment rate",7.9
"1976-02","Nova Scotia","Participation rate",55.7
"1976-02","Nova Scotia","Employment rate",51.4
"1976-02","New Brunswick","Population",477.8
"1976-02","New Brunswick","Labour force",261.3
"1976-02","New Brunswick","Employment",232.9
"1976-02","New Brunswick","Full-time employment",208.2
"1976-02","New Brunswick","Part-time employment ",24.7
"1976-02","New Brunswick","Unemployment",28.4
"1976-02","New Brunswick","Unemployment rate",10.9
"1976-02","New Brunswick","Participation rate",54.7
"1976-02","New Brunswick","Employment rate",48.7
"1976-02","Quebec","Population",4705
"1976-02","Quebec","Labour force",2778.1
"1976-02","Quebec","Employment",2536.3
"1976-02","Quebec","Full-time employment",2314.1
"1976-02","Quebec","Part-time employment ",222.2
"1976-02","Quebec","Unemployment",241.8
"1976-02","Quebec","Unemployment rate",8.7
"1976-02","Quebec","Participation rate",59
"1976-02","Quebec","Employment rate",53.9
"1976-02","Ontario","Population",6149.1
"1976-02","Ontario","Labour force",3953.6
"1976-02","Ontario","Employment",3713.4
"1976-02","Ontario","Full-time employment",3219.4
"1976-02","Ontario","Part-time employment ",494
"1976-02","Ontario","Unemployment",240.2
"1976-02","Ontario","Unemployment rate",6.1
"1976-02","Ontario","Participation rate",64.3
"1976-02","Ontario","Employment rate",60.4
"1976-02","Manitoba","Population",733.8
"1976-02","Manitoba","Labour force",447.3
"1976-02","Manitoba","Employment",425.4
"1976-02","Manitoba","Full-time employment",373.3
"1976-02","Manitoba","Part-time employment ",52
"1976-02","Manitoba","Unemployment",22
"1976-02","Manitoba","Unemployment rate",4.9
"1976-02","Manitoba","Participation rate",61
"1976-02","Manitoba","Employment rate",58
"1976-02","Saskatchewan","Population",649.8
"1976-02","Saskatchewan","Labour force",391.7
"1976-02","Saskatchewan","Employment",375.5
"1976-02","Saskatchewan","Full-time employment",319.3
"1976-02","Saskatchewan","Part-time employment ",56.2
"1976-02","Saskatchewan","Unemployment",16.2
"1976-02","Saskatchewan","Unemployment rate",4.1
"1976-02","Saskatchewan","Participation rate",60.3
"1976-02","Saskatchewan","Employment rate",57.8
"1976-02","Alberta","Population",1285
"1976-02","Alberta","Labour force",862.7
"1976-02","Alberta","Employment",830.7
"1976-02","Alberta","Full-time employment",704.3
"1976-02","Alberta","Part-time employment ",126.4
"1976-02","Alberta","Unemployment",32
"1976-02","Alberta","Unemployment rate",3.7
"1976-02","Alberta","Participation rate",67.1
"1976-02","Alberta","Employment rate",64.6
"1976-02","British Columbia","Population",1856.8
"1976-02","British Columbia","Labour force",1136.7
"1976-02","British Columbia","Employment",1041.6
"1976-02","British Columbia","Full-time employment",880.8
"1976-02","British Columbia","Part-time employment ",160.8
"1976-02","British Columbia","Unemployment",95.2
"1976-02","British Columbia","Unemployment rate",8.4
"1976-02","British Columbia","Participation rate",61.2
"1976-02","British Columbia","Employment rate",56.1
"1976-03","Newfoundland and Labrador","Population",368.9
"1976-03","Newfoundland and Labrador","Labour force",184.2
"1976-03","Newfoundland and Labrador","Employment",161.7
"1976-03","Newfoundland and Labrador","Full-time employment",149.6
"1976-03","Newfoundland and Labrador","Part-time employment ",12.1
"1976-03","Newfoundland and Labrador","Unemployment",22.6
"1976-03","Newfoundland and Labrador","Unemployment rate",12.3
"1976-03","Newfoundland and Labrador","Participation rate",49.9
"1976-03","Newfoundland and Labrador","Employment rate",43.8
"1976-03","Prince Edward Island","Population",82.4
"1976-03","Prince Edward Island","Labour force",47.6
"1976-03","Prince Edward Island","Employment",43.5
"1976-03","Prince Edward Island","Full-time employment",37.4
"1976-03","Prince Edward Island","Part-time employment ",6.1
"1976-03","Prince Edward Island","Unemployment",4.1
"1976-03","Prince Edward Island","Unemployment rate",8.6
"1976-03","Prince Edward Island","Participation rate",57.8
"1976-03","Prince Edward Island","Employment rate",52.8
"1976-03","Nova Scotia","Population",585.7
"1976-03","Nova Scotia","Labour force",326.1
"1976-03","Nova Scotia","Employment",301.3
"1976-03","Nova Scotia","Full-time employment",265.6
"1976-03","Nova Scotia","Part-time employment ",35.7
"1976-03","Nova Scotia","Unemployment",24.9
"1976-03","Nova Scotia","Unemployment rate",7.6
"1976-03","Nova Scotia","Participation rate",55.7
"1976-03","Nova Scotia","Employment rate",51.4
"1976-03","New Brunswick","Population",478.8
"1976-03","New Brunswick","Labour force",257.9
"1976-03","New Brunswick","Employment",230.7
"1976-03","New Brunswick","Full-time employment",206.6
"1976-03","New Brunswick","Part-time employment ",24.2
"1976-03","New Brunswick","Unemployment",27.1
"1976-03","New Brunswick","Unemployment rate",10.5
"1976-03","New Brunswick","Participation rate",53.9
"1976-03","New Brunswick","Employment rate",48.2
"1976-03","Quebec","Population",4713.1
"1976-03","Quebec","Labour force",2761.7
"1976-03","Quebec","Employment",2545.3
"1976-03","Quebec","Full-time employment",2322.9
"1976-03","Quebec","Part-time employment ",222.5
"1976-03","Quebec","Unemployment",216.4
"1976-03","Quebec","Unemployment rate",7.8
"1976-03","Quebec","Participation rate",58.6
"1976-03","Quebec","Employment rate",54
"1976-03","Ontario","Population",6161.7
"1976-03","Ontario","Labour force",3964.3
"1976-03","Ontario","Employment",3728.4
"1976-03","Ontario","Full-time employment",3233.9
"1976-03","Ontario","Part-time employment ",494.5
"1976-03","Ontario","Unemployment",235.9
"1976-03","Ontario","Unemployment rate",6
"1976-03","Ontario","Participation rate",64.3
"1976-03","Ontario","Employment rate",60.5
"1976-03","Manitoba","Population",734.6
"1976-03","Manitoba","Labour force",452.2
"1976-03","Manitoba","Employment",432.1
"1976-03","Manitoba","Full-time employment",374.4
"1976-03","Manitoba","Part-time employment ",57.7
"1976-03","Manitoba","Unemployment",20.1
"1976-03","Manitoba","Unemployment rate",4.4
"1976-03","Manitoba","Participation rate",61.6
"1976-03","Manitoba","Employment rate",58.8
"1976-03","Saskatchewan","Population",651.4
"1976-03","Saskatchewan","Labour force",385.7
"1976-03","Saskatchewan","Employment",371.8
"1976-03","Saskatchewan","Full-time employment",316.6
"1976-03","Saskatchewan","Part-time employment ",55.2
"1976-03","Saskatchewan","Unemployment",13.9
"1976-03","Saskatchewan","Unemployment rate",3.6
"1976-03","Saskatchewan","Participation rate",59.2
"1976-03","Saskatchewan","Employment rate",57.1
"1976-03","Alberta","Population",1293.3
"1976-03","Alberta","Labour force",874.8
"1976-03","Alberta","Employment",841.7
"1976-03","Alberta","Full-time employment",711.4
"1976-03","Alberta","Part-time employment ",130.4
"1976-03","Alberta","Unemployment",33
"1976-03","Alberta","Unemployment rate",3.8
"1976-03","Alberta","Participation rate",67.6
"1976-03","Alberta","Employment rate",65.1
"1976-03","British Columbia","Population",1861.1
"1976-03","British Columbia","Labour force",1141.2
"1976-03","British Columbia","Employment",1047.6
"1976-03","British Columbia","Full-time employment",891.2
"1976-03","British Columbia","Part-time employment ",156.4
"1976-03","British Columbia","Unemployment",93.6
"1976-03","British Columbia","Unemployment rate",8.2
"1976-03","British Columbia","Participation rate",61.3
"1976-03","British Columbia","Employment rate",56.3
"1976-04","Newfoundland and Labrador","Population",369.4
"1976-04","Newfoundland and Labrador","Labour force",186.2
"1976-04","Newfoundland and Labrador","Employment",161.3
"1976-04","Newfoundland and Labrador","Full-time employment",150.7
"1976-04","Newfoundland and Labrador","Part-time employment ",10.6
"1976-04","Newfoundland and Labrador","Unemployment",25
"1976-04","Newfoundland and Labrador","Unemployment rate",13.4
"1976-04","Newfoundland and Labrador","Participation rate",50.4
"1976-04","Newfoundland and Labrador","Employment rate",43.7
"1976-04","Prince Edward Island","Population",82.5
"1976-04","Prince Edward Island","Labour force",47
"1976-04","Prince Edward Island","Employment",42.9
"1976-04","Prince Edward Island","Full-time employment",37.7
"1976-04","Prince Edward Island","Part-time employment ",5.2
"1976-04","Prince Edward Island","Unemployment",4.1
"1976-04","Prince Edward Island","Unemployment rate",8.7
"1976-04","Prince Edward Island","Participation rate",57
"1976-04","Prince Edward Island","Employment rate",52
"1976-04","Nova Scotia","Population",586.8
"1976-04","Nova Scotia","Labour force",329.7
"1976-04","Nova Scotia","Employment",302.7
"1976-04","Nova Scotia","Full-time employment",266.2
"1976-04","Nova Scotia","Part-time employment ",36.5
"1976-04","Nova Scotia","Unemployment",27
"1976-04","Nova Scotia","Unemployment rate",8.2
"1976-04","Nova Scotia","Participation rate",56.2
"1976-04","Nova Scotia","Employment rate",51.6
"1976-04","New Brunswick","Population",479.7
"1976-04","New Brunswick","Labour force",260
"1976-04","New Brunswick","Employment",233
"1976-04","New Brunswick","Full-time employment",208.9
"1976-04","New Brunswick","Part-time employment ",24.2
"1976-04","New Brunswick","Unemployment",26.9
"1976-04","New Brunswick","Unemployment rate",10.3
"1976-04","New Brunswick","Participation rate",54.2
"1976-04","New Brunswick","Employment rate",48.6
"1976-04","Quebec","Population",4721.1
"1976-04","Quebec","Labour force",2786.6
"1976-04","Quebec","Employment",2552
"1976-04","Quebec","Full-time employment",2331.2
"1976-04","Quebec","Part-time employment ",220.8
"1976-04","Quebec","Unemployment",234.6
"1976-04","Quebec","Unemployment rate",8.4
"1976-04","Quebec","Participation rate",59
"1976-04","Quebec","Employment rate",54.1
"1976-04","Ontario","Population",6174.6
"1976-04","Ontario","Labour force",3968
"1976-04","Ontario","Employment",3735.7
"1976-04","Ontario","Full-time employment",3234.7
"1976-04","Ontario","Part-time employment ",501
"1976-04","Ontario","Unemployment",232.3
"1976-04","Ontario","Unemployment rate",5.9
"1976-04","Ontario","Participation rate",64.3
"1976-04","Ontario","Employment rate",60.5
"1976-04","Manitoba","Population",735.5
"1976-04","Manitoba","Labour force",453.5
"1976-04","Manitoba","Employment",435.3
"1976-04","Manitoba","Full-time employment",375.5
"1976-04","Manitoba","Part-time employment ",59.8
"1976-04","Manitoba","Unemployment",18.2
"1976-04","Manitoba","Unemployment rate",4
"1976-04","Manitoba","Participation rate",61.7
"1976-04","Manitoba","Employment rate",59.2
"1976-04","Saskatchewan","Population",653
"1976-04","Saskatchewan","Labour force",394.3
"1976-04","Saskatchewan","Employment",380.6
"1976-04","Saskatchewan","Full-time employment",325
"1976-04","Saskatchewan","Part-time employment ",55.6
"1976-04","Saskatchewan","Unemployment",13.7
"1976-04","Saskatchewan","Unemployment rate",3.5
"1976-04","Saskatchewan","Participation rate",60.4
"1976-04","Saskatchewan","Employment rate",58.3
"1976-04","Alberta","Population",1301.5
"1976-04","Alberta","Labour force",876.5
"1976-04","Alberta","Employment",846.2
"1976-04","Alberta","Full-time employment",719.3
"1976-04","Alberta","Part-time employment ",126.9
"1976-04","Alberta","Unemployment",30.3
"1976-04","Alberta","Unemployment rate",3.5
"1976-04","Alberta","Participation rate",67.3
"1976-04","Alberta","Employment rate",65
"1976-04","British Columbia","Population",1865.4
"1976-04","British Columbia","Labour force",1149.6
"1976-04","British Columbia","Employment",1048.6
"1976-04","British Columbia","Full-time employment",891
"1976-04","British Columbia","Part-time employment ",157.6
"1976-04","British Columbia","Unemployment",101.1
"1976-04","British Columbia","Unemployment rate",8.8
"1976-04","British Columbia","Participation rate",61.6
"1976-04","British Columbia","Employment rate",56.2
"1976-05","Newfoundland and Labrador","Population",369.9
"1976-05","Newfoundland and Labrador","Labour force",185.2
"1976-05","Newfoundland and Labrador","Employment",160.6
"1976-05","Newfoundland and Labrador","Full-time employment",149.2
"1976-05","Newfoundland and Labrador","Part-time employment ",11.4
"1976-05","Newfoundland and Labrador","Unemployment",24.6
"1976-05","Newfoundland and Labrador","Unemployment rate",13.3
"1976-05","Newfoundland and Labrador","Participation rate",50.1
"1976-05","Newfoundland and Labrador","Employment rate",43.4
"1976-05","Prince Edward Island","Population",82.6
"1976-05","Prince Edward Island","Labour force",46.9
"1976-05","Prince Edward Island","Employment",42.8
"1976-05","Prince Edward Island","Full-time employment",37.1
"1976-05","Prince Edward Island","Part-time employment ",5.7
"1976-05","Prince Edward Island","Unemployment",4.1
"1976-05","Prince Edward Island","Unemployment rate",8.7
"1976-05","Prince Edward Island","Participation rate",56.8
"1976-05","Prince Edward Island","Employment rate",51.8
"1976-05","Nova Scotia","Population",588.1
"1976-05","Nova Scotia","Labour force",325.9
"1976-05","Nova Scotia","Employment",298
"1976-05","Nova Scotia","Full-time employment",260.3
"1976-05","Nova Scotia","Part-time employment ",37.8
"1976-05","Nova Scotia","Unemployment",27.9
"1976-05","Nova Scotia","Unemployment rate",8.6
"1976-05","Nova Scotia","Participation rate",55.4
"1976-05","Nova Scotia","Employment rate",50.7
"1976-05","New Brunswick","Population",480.6
"1976-05","New Brunswick","Labour force",258.9
"1976-05","New Brunswick","Employment",230.6
"1976-05","New Brunswick","Full-time employment",205.1
"1976-05","New Brunswick","Part-time employment ",25.5
"1976-05","New Brunswick","Unemployment",28.3
"1976-05","New Brunswick","Unemployment rate",10.9
"1976-05","New Brunswick","Participation rate",53.9
"1976-05","New Brunswick","Employment rate",48
"1976-05","Quebec","Population",4729.1
"1976-05","Quebec","Labour force",2776.3
"1976-05","Quebec","Employment",2547.6
"1976-05","Quebec","Full-time employment",2329.6
"1976-05","Quebec","Part-time employment ",218
"1976-05","Quebec","Unemployment",228.7
"1976-05","Quebec","Unemployment rate",8.2
"1976-05","Quebec","Participation rate",58.7
"1976-05","Quebec","Employment rate",53.9
"1976-05","Ontario","Population",6187.3
"1976-05","Ontario","Labour force",3966
"1976-05","Ontario","Employment",3734.2
"1976-05","Ontario","Full-time employment",3226.9
"1976-05","Ontario","Part-time employment ",507.3
"1976-05","Ontario","Unemployment",231.7
"1976-05","Ontario","Unemployment rate",5.8
"1976-05","Ontario","Participation rate",64.1
"1976-05","Ontario","Employment rate",60.4
"1976-05","Manitoba","Population",736.3
"1976-05","Manitoba","Labour force",452.5
"1976-05","Manitoba","Employment",432.3
"1976-05","Manitoba","Full-time employment",369.1
"1976-05","Manitoba","Part-time employment ",63.2
"1976-05","Manitoba","Unemployment",20.1
"1976-05","Manitoba","Unemployment rate",4.4
"1976-05","Manitoba","Participation rate",61.5
"1976-05","Manitoba","Employment rate",58.7
"1976-05","Saskatchewan","Population",654.6
"1976-05","Saskatchewan","Labour force",395.7
"1976-05","Saskatchewan","Employment",382
"1976-05","Saskatchewan","Full-time employment",324.6
"1976-05","Saskatchewan","Part-time employment ",57.4
"1976-05","Saskatchewan","Unemployment",13.7
"1976-05","Saskatchewan","Unemployment rate",3.5
"1976-05","Saskatchewan","Participation rate",60.4
"1976-05","Saskatchewan","Employment rate",58.4
"1976-05","Alberta","Population",1309.8
"1976-05","Alberta","Labour force",886.6
"1976-05","Alberta","Employment",849.5
"1976-05","Alberta","Full-time employment",724.9
"1976-05","Alberta","Part-time employment ",124.5
"1976-05","Alberta","Unemployment",37.2
"1976-05","Alberta","Unemployment rate",4.2
"1976-05","Alberta","Participation rate",67.7
"1976-05","Alberta","Employment rate",64.9
"1976-05","British Columbia","Population",1869.8
"1976-05","British Columbia","Labour force",1152.2
"1976-05","British Columbia","Employment",1048.3
"1976-05","British Columbia","Full-time employment",902.9
"1976-05","British Columbia","Part-time employment ",145.5
"1976-05","British Columbia","Unemployment",103.8
"1976-05","British Columbia","Unemployment rate",9
"1976-05","British Columbia","Participation rate",61.6
"1976-05","British Columbia","Employment rate",56.1
"1976-06","Newfoundland and Labrador","Population",370.5
"1976-06","Newfoundland and Labrador","Labour force",182.5
"1976-06","Newfoundland and Labrador","Employment",158.9
"1976-06","Newfoundland and Labrador","Full-time employment",146.2
"1976-06","Newfoundland and Labrador","Part-time employment ",12.7
"1976-06","Newfoundland and Labrador","Unemployment",23.6
"1976-06","Newfoundland and Labrador","Unemployment rate",12.9
"1976-06","Newfoundland and Labrador","Participation rate",49.3
"1976-06","Newfoundland and Labrador","Employment rate",42.9
"1976-06","Prince Edward Island","Population",82.8
"1976-06","Prince Edward Island","Labour force",46.4
"1976-06","Prince Edward Island","Employment",41.9
"1976-06","Prince Edward Island","Full-time employment",36
"1976-06","Prince Edward Island","Part-time employment ",5.9
"1976-06","Prince Edward Island","Unemployment",4.5
"1976-06","Prince Edward Island","Unemployment rate",9.7
"1976-06","Prince Edward Island","Participation rate",56
"1976-06","Prince Edward Island","Employment rate",50.6
"1976-06","Nova Scotia","Population",589.3
"1976-06","Nova Scotia","Labour force",326.1
"1976-06","Nova Scotia","Employment",294.9
"1976-06","Nova Scotia","Full-time employment",254.3
"1976-06","Nova Scotia","Part-time employment ",40.6
"1976-06","Nova Scotia","Unemployment",31.2
"1976-06","Nova Scotia","Unemployment rate",9.6
"1976-06","Nova Scotia","Participation rate",55.3
"1976-06","Nova Scotia","Employment rate",50
"1976-06","New Brunswick","Population",481.7
"1976-06","New Brunswick","Labour force",259.9
"1976-06","New Brunswick","Employment",231.4
"1976-06","New Brunswick","Full-time employment",206.6
"1976-06","New Brunswick","Part-time employment ",24.8
"1976-06","New Brunswick","Unemployment",28.5
"1976-06","New Brunswick","Unemployment rate",11
"1976-06","New Brunswick","Participation rate",54
"1976-06","New Brunswick","Employment rate",48
"1976-06","Quebec","Population",4737.2
"1976-06","Quebec","Labour force",2782.4
"1976-06","Quebec","Employment",2549.4
"1976-06","Quebec","Full-time employment",2329.9
"1976-06","Quebec","Part-time employment ",219.6
"1976-06","Quebec","Unemployment",232.9
"1976-06","Quebec","Unemployment rate",8.4
"1976-06","Quebec","Participation rate",58.7
"1976-06","Quebec","Employment rate",53.8
"1976-06","Ontario","Population",6200
"1976-06","Ontario","Labour force",3976.6
"1976-06","Ontario","Employment",3745.2
"1976-06","Ontario","Full-time employment",3221.9
"1976-06","Ontario","Part-time employment ",523.3
"1976-06","Ontario","Unemployment",231.4
"1976-06","Ontario","Unemployment rate",5.8
"1976-06","Ontario","Participation rate",64.1
"1976-06","Ontario","Employment rate",60.4
"1976-06","Manitoba","Population",737.2
"1976-06","Manitoba","Labour force",455.6
"1976-06","Manitoba","Employment",435.5
"1976-06","Manitoba","Full-time employment",372
"1976-06","Manitoba","Part-time employment ",63.5
"1976-06","Manitoba","Unemployment",20.1
"1976-06","Manitoba","Unemployment rate",4.4
"1976-06","Manitoba","Participation rate",61.8
"1976-06","Manitoba","Employment rate",59.1
"1976-06","Saskatchewan","Population",656.2
"1976-06","Saskatchewan","Labour force",400.3
"1976-06","Saskatchewan","Employment",384
"1976-06","Saskatchewan","Full-time employment",326.9
"1976-06","Saskatchewan","Part-time employment ",57.1
"1976-06","Saskatchewan","Unemployment",16.2
"1976-06","Saskatchewan","Unemployment rate",4
"1976-06","Saskatchewan","Participation rate",61
"1976-06","Saskatchewan","Employment rate",58.5
"1976-06","Alberta","Population",1318
"1976-06","Alberta","Labour force",888.2
"1976-06","Alberta","Employment",854
"1976-06","Alberta","Full-time employment",733.6
"1976-06","Alberta","Part-time employment ",120.5
"1976-06","Alberta","Unemployment",34.1
"1976-06","Alberta","Unemployment rate",3.8
"1976-06","Alberta","Participation rate",67.4
"1976-06","Alberta","Employment rate",64.8
"1976-06","British Columbia","Population",1874
"1976-06","British Columbia","Labour force",1151.6
"1976-06","British Columbia","Employment",1053
"1976-06","British Columbia","Full-time employment",891.7
"1976-06","British Columbia","Part-time employment ",161.2
"1976-06","British Columbia","Unemployment",98.6
"1976-06","British Columbia","Unemployment rate",8.6
"1976-06","British Columbia","Participation rate",61.5
"1976-06","British Columbia","Employment rate",56.2
"1976-07","Newfoundland and Labrador","Population",371.1
"1976-07","Newfoundland and Labrador","Labour force",182.1
"1976-07","Newfoundland and Labrador","Employment",155.7
"1976-07","Newfoundland and Labrador","Full-time employment",143.3
"1976-07","Newfoundland and Labrador","Part-time employment ",12.4
"1976-07","Newfoundland and Labrador","Unemployment",26.4
"1976-07","Newfoundland and Labrador","Unemployment rate",14.5
"1976-07","Newfoundland and Labrador","Participation rate",49.1
"1976-07","Newfoundland and Labrador","Employment rate",42
"1976-07","Prince Edward Island","Population",82.9
"1976-07","Prince Edward Island","Labour force",47.5
"1976-07","Prince Edward Island","Employment",42.2
"1976-07","Prince Edward Island","Full-time employment",36.1
"1976-07","Prince Edward Island","Part-time employment ",6.1
"1976-07","Prince Edward Island","Unemployment",5.3
"1976-07","Prince Edward Island","Unemployment rate",11.2
"1976-07","Prince Edward Island","Participation rate",57.3
"1976-07","Prince Edward Island","Employment rate",50.9
"1976-07","Nova Scotia","Population",590.5
"1976-07","Nova Scotia","Labour force",326.2
"1976-07","Nova Scotia","Employment",294.2
"1976-07","Nova Scotia","Full-time employment",258.5
"1976-07","Nova Scotia","Part-time employment ",35.7
"1976-07","Nova Scotia","Unemployment",31.9
"1976-07","Nova Scotia","Unemployment rate",9.8
"1976-07","Nova Scotia","Participation rate",55.2
"1976-07","Nova Scotia","Employment rate",49.8
"1976-07","New Brunswick","Population",482.6
"1976-07","New Brunswick","Labour force",257.5
"1976-07","New Brunswick","Employment",230
"1976-07","New Brunswick","Full-time employment",204.2
"1976-07","New Brunswick","Part-time employment ",25.8
"1976-07","New Brunswick","Unemployment",27.5
"1976-07","New Brunswick","Unemployment rate",10.7
"1976-07","New Brunswick","Participation rate",53.4
"1976-07","New Brunswick","Employment rate",47.7
"1976-07","Quebec","Population",4745.2
"1976-07","Quebec","Labour force",2800.2
"1976-07","Quebec","Employment",2549.7
"1976-07","Quebec","Full-time employment",2325.1
"1976-07","Quebec","Part-time employment ",224.6
"1976-07","Quebec","Unemployment",250.4
"1976-07","Quebec","Unemployment rate",8.9
"1976-07","Quebec","Participation rate",59
"1976-07","Quebec","Employment rate",53.7
"1976-07","Ontario","Population",6212.7
"1976-07","Ontario","Labour force",4003.8
"1976-07","Ontario","Employment",3741.3
"1976-07","Ontario","Full-time employment",3252.7
"1976-07","Ontario","Part-time employment ",488.7
"1976-07","Ontario","Unemployment",262.5
"1976-07","Ontario","Unemployment rate",6.6
"1976-07","Ontario","Participation rate",64.4
"1976-07","Ontario","Employment rate",60.2
"1976-07","Manitoba","Population",738
"1976-07","Manitoba","Labour force",459.1
"1976-07","Manitoba","Employment",437.8
"1976-07","Manitoba","Full-time employment",373.8
"1976-07","Manitoba","Part-time employment ",64.1
"1976-07","Manitoba","Unemployment",21.3
"1976-07","Manitoba","Unemployment rate",4.6
"1976-07","Manitoba","Participation rate",62.2
"1976-07","Manitoba","Employment rate",59.3
"1976-07","Saskatchewan","Population",657.9
"1976-07","Saskatchewan","Labour force",399.4
"1976-07","Saskatchewan","Employment",381.9
"1976-07","Saskatchewan","Full-time employment",319.7
